File name,Question,Answer,Distractor 1,Distractor 2,Distractor 3,Author
61,What does the cat do in the beginning?,drinks water,drinks syrup,eats mice,sleeps,Aura
61,Where can the cats nap?,pillow,table,bin,car,Aura
61,Who picks cat names?,boy,grandmother,girl,woman,Aura
61,How many cats are in this video?,2,1,4 ,3,Penghao
61,How many bowls are in this video?,2,1,4 ,3,Penghao
61,How many kids are there?,2,4 ,1,3,Penghao
61,How many litter boxes are there?,2,4 ,1,3,Penghao
61,What's the color of the litter box?,blue,black,red,white,Penghao
62,Where are they?,dad's office,mother's office,grandmother's office,garage,Aura
62,What color are the litter pans?,blue,blue,olive,fuchsia,Aura
62,What is the name of the first cat?,Pebbles,Stone,Batman,Max,Aura
62,What is the name of the second cat?,Mr Scratchy,Batman,Mike,Rex,Aura
62,Who is giving the cat a toy?,boy,girl,woman,Father,Aura
62,What is the color of the ball?,white,yellow,green,pink,Penghao
62,What is the cat playing with?,a cat toy,an apple,a car,a boy,Penghao
62,What is the color of the floor?,black,white,blue,yellow,Penghao
62,Who is Mr Scratchy?,the cat,the  girl,a super star,a dog,Penghao
62,Where are they?,office,bathroom,restaurant,Mom's bedroom,Penghao
63,How many bowls are?,2,10,1,3,Aura
63,What color is the cat ball?,white,red and olive,magenta,golden,Aura
63,Where do they look at outfits?,Petsmart,Petco,Walmart,Meijer,Aura
63,What color is the moving toy?,green,red ,golden,magenta,Aura
63,What color are the outfits?,red,white,olive,orange,Aura
63,How many cats are there?,2,3,4 ,1,Penghao
63,Which shop they went?,Petsmart,Walmart,Kroger,Trader joe's,Penghao
63,How many kids are there?,1,4 ,2,3,Penghao
63,What they are doing in the petsmart?,shopping,eating,sleeping,dancing,Penghao
63,How many dogs there?,0,1,2,3,Penghao
64,Where are they?,pet store,restaurant,store,cinema,Aura
64,What food has different kinds?,cat food,mouse food,fish food,bird food,Aura
64,What are they looking at after food?,scratching cat posts,litter,frogs,fish,Aura
64,What do scratching cat posts have to play?,butterflies,frogs,fish,balls,Aura
64,What colors are scratching cat posts?,beige and gray,violet,beige and purple,beige and green,Aura
64,What they are doing?,shopping,eating,sleeping,dancing,Penghao
64,How many kids are there?,1,4 ,2,3,Penghao
64,How many cats are there?,0,1,2,3,Penghao
64,How many dogs are there?,0,1,2,3,Penghao
64,How many frogs are there?,0,1,2,3,Penghao
65,How many bowls are?,2,0,6,1,Aura
65,What are the cats's names?,Pebbles and Mr Scratchy,Pebbles and Stone,Pebbles and Pebbles ,Olive and Mr Scratchy,Aura
65,What is the cat trying to catch?,cat toy,bird,mouse,snake,Aura
65,What color are the stripes on the child pants?,red and white,silver and white,red and olive,blue and white,Aura
65,What did they get new?,cat toy,scratching cat posts,bins,mice,Aura
65,How many cats are there?,0,1,2,3,Penghao
65,How many dogs are there?,0,1,2,3,Penghao
65,How many frogs are there?,0,1,2,3,Penghao
65,What are those cats doing here?,playing,fighting,sleeping,crying,Penghao
65,How many litter boxes are there?,2,4 ,1,3,Penghao
66,Where are they boy and cat?,window,store,scratching cat posts,table,Aura
66,What are the boy and the cat checking out?,outside,yard,birds,food,Aura
66,Where are they?,bedroom,store,store,restaurant,Aura
66,How many cats are?,2,3,0,6,Aura
66,Where are the boy and the cat sitting first?,chair,table,bench,bed,Aura
66,How many kids are there?,1,4 ,2,3,Penghao
66,How many dogs are there?,0,1,2,3,Penghao
66,How many frogs are there?,0,1,2,3,Penghao
66,Where are those people?,home,kroger,petsmart,school,Penghao
67,What color are Emma's stripes?,red and white,red and olive,red and brown,silver and white,Aura
67,What is the baby's name?,Emma,Maria,Anna,Jane,Aura
67,How many cats are?,2,6,5,3,Aura
67,Where is Emma sitting?,Father's lap,mother's lap,sister's lap,mother's arms,Aura
67,What is the cat trying to catch?,own shadow,mouse,bird,food,Aura
67,What is the cat trying to do?,catching its shadow,playing around,eating,climbing up the desk,Penghao
67,What is the color of the desk?,black,white,blue,yellow,Penghao
67,How many cats are there?,2,3,4 ,1,Penghao
67,How many dogs are there?,0,1,2,3,Penghao
68,How many wrenches does the child hold first?,4,6,1,3,Aura
68,What is in the box?,car,cat,phone,TV,Aura
68,What car do they have?,BWM,Aldo,Mustang,Ford,Aura
68,Who is pulling the car out?,father,aunt,grandmother,sister,Aura
68,How many wrenches does the child hold first in his right hand?,2,1,3,0,Aura
68,What's the relationship between the man and the kid?,father and kid,friends,father and daughter,grandmom and granddaughter,Penghao
68,Where are those people?,home,Kroger,Petsmart,school,Penghao
68,What's the brand of the toy car?,BMW,Benz,Tesla,Porsche,Penghao
68,How many people speaking in the video?,3,5,2,6,Penghao
68,What's the color of the car?,black,white,blue,yellow,Penghao
69,What color is the label inside the car?,yellow,red,gray,turquoise,Aura
69,How many people are assembling the car?,2,0,6,5,Aura
69,What is the child showing the woman?,mirrors,wheels,wiper,door,Aura
69,What tool is the boy using to take an oject out?,log wrench,hammer,nail,clipper,Aura
69,Who knows what to do?,child,father,mother,sister,Aura
69,How many mirrors are there in the video?,2,3,4 ,1,Penghao
69,How many people are there?,2,3,4 ,1,Penghao
69,How many kids are there?,1,2,3,4 ,Penghao
69,What is the color of the car?,black,white,yellow,blue,Penghao
69,What are they doing?,assembling a toy car,driving,singing,playing football,Penghao
70,How many people hold wheels?,2,1,3,0,Aura
70,What wheel does the child hold?,left,right,front,back,Aura
70,What wheel does the man hold?,right,front,back,left,Aura
70,Where is the car?,floor,table,park,shelves,Aura
70,What are they doing?,build car,eat,read,paint car,Aura
70,What is the boy's name?,Ryan,Peter,John,Tim,Penghao
70,What is the color of the boy's top?,blue,yellow,black,white,Penghao
70,What is the color of the man's top?,aqua,black,yellow,red,Penghao
70,What is the color of the floor?,brown,blue,red,white,Penghao
70,What is the boy holding at the end of the video?,a wheel,an apple,a hammer,a rod,Penghao
71,What are they mounting?,wheels,mirror,batery,tent,Aura
71,Who puts in the first wheel?,father,boy,mother,girl,Aura
71,Who puts in the second wheel?,boy,mother,girl,old man,Aura
71,What color are the man's shorts?,burgundy,gray,turquoise,blue,Aura
71,Where are the car parts?,floor,shelves,garage,table,Aura
71,What are they doing?,putting the wheels on,singing,reading a book,watching a movie,Penghao
71,What is the color of the man's short?,red,blue,black,brown,Penghao
71,What is the color of the car?,black,yellow,white,blue,Penghao
71,How many people are there?,2,3,4 ,1,Penghao
72,What color are the walls?,beige,light gray,black,red,Aura
72,How many kids are?,1,3,0,4,Aura
72,What is the boy assembling?,car,house,map,10t,Aura
72,What does the boy put first?,window,mirror,wheels,wiper,Aura
72,What does the boy put second?,seat,wiper,mirror,batery,Aura
72,What is the car's make?,BMW,Benz,Ford,Tesla,Penghao
72,What is the color of the wall?,white,black,pink,brown,Penghao
72,What is the color of the car?,black,brown,blue,yellow,Penghao
73,Where is the boy in the beginning?,floor,cinema,restaurant,chair,Aura
73,Where is the boy driving?,inside,park,yard,street,Aura
73,Where is the boy putting in the beginning?,wheel caps,batery,wheels,windows,Aura
73,What does the boy do after putting the caps on?,rides,cleans the car,locks the car,buys the car,Aura
73,What color are the boy's pants?,light gray,black,yellow,white,Aura
74,Where does he want to take the car?,outside,park,race,beach,Aura
74,What color is the small car?,black,yellow,white,red,Aura
74,What does the boy do to the car in the beginning?,charge,paint,clean,race,Aura
74,What is the car's make?,BMW,Audi,Dacia,Ford,Aura
74,Where is the big car?,street,park,yard,store,Aura
74,How long will the boy take the car out?,1 hour,30 minutes,2hours,3 hours,Penghao
74,What is the color of the boy's top?,red,blue,yellow,black,Penghao
74,What are the words on the boy's shirt?,STAR WARS,NEVER STOP,TRUST ME,WATCH OUT,Penghao
74,What are the words on the lisence plate of the car?,BMW i8 Concept,BMW is Concept,BMW i7 Concept,Benz i8 Concept,Penghao
75,What day is it?,Father's Day,Valentine's,Mother's Day,Easter,Aura
75,What time of day is it?,morning,night,noon,afternoon,Aura
75,Who are they celebrating?,Brian,Marc,Eric,Eli,Aura
75,What color is the woman's top?,gray,turquoise,red,silver,Aura
75,Where is the woman walking into?,kitchen,park,bedroom,cinema,Aura
75,What does she hope to put in the meal?,donuts,cookies,banana,grape,Aura
75,What is the color of the woman's shirt?,grey,black,green,pink,Penghao
75,Who is the woman's husband?,Brian,Grey,Peter,John,Penghao
75,What is the woman going to do?,make breakfast,watch a movie,read a book,shopping,Penghao
75,How many kids are there?,1,2,3,4 ,Penghao
76,What is the boy bringing?,snacks,legoes,cars,pens,Aura
76,What is the boy stiring?,egg,soup,batter,hot cacao,Aura
76,Where are they?,kitchen,bedroom,cinema,restaurant,Aura
76,What does she pour from the brown bottle?,vanilla,water,syrup,honey,Aura
76,How many eggs are there?,5,4,3,2,Penghao
76,How many bowls are there?,2,3,4 ,1,Penghao
76,What are words on the boy's shirt?,No.1 BEST BRO,No. 2 BEST BRO,No.1 WORST BRO,NOTHING,Penghao
76,What are they doing?,make breakfast,watch a movie,read a book,shopping,Penghao
76,What is the color of the boy's shirt?,red,brown,green,yellow,Penghao
77,What does she do in the beginning?,cooking,singing,watching TV,cleaning,Aura
77,Where does she put the plates?,folding table,oven,shelves,floor,Aura
77,How many plates are?,2,1,6,3,Aura
77,To whom they give the food?,daddy,aunt,mother,sister,Aura
77,What did they sign?,cards,books,calendars,documents,Aura
77,How many toasts are there?,8,7,6,5,Penghao
77,What color is the woman's top?,grey,pink,white,black,Penghao
77,What is the woman doing?,make breakfast,watch a movie,read a book,shopping,Penghao
77,What will they do next?,take the breakfast to dad,make a lunch,go out shopping,sleep,Penghao
78,Where are they?,bedroom,cinema,restaurant,restroom,Aura
78,How many people are in bed?,2,11,0,1,Aura
78,How many jars with drinks are?,2,1,6,7,Aura
78,What is the kid handing to the man?,card,key,bowl,bag,Aura
78,What's on the card?,doggie,cat,flowers,cake,Aura
78,What's the color of the boy's hair?,blond,black,purple,red,Penghao
78,Where is the boy sitting?,bed,floor,grass,roof,Penghao
78,What are those people doing here?,eating breakfast,playing basketball,watching TV,dancing,Penghao
78,How many people are in the video?,3,1,2,3,Penghao
79,What do they do?,eat,play,build,watch TV,Aura
79,What meal do they eat?,breakfast,brunch,lunch,dinner,Aura
79,What does the child hold?,bottle,cat,book,blocks,Aura
79,Where are they sitting?,bed,car,box,floor,Aura
79,What is in the first package?,grill cover,bread,ice cream machine,washing machine,Aura
79,Where is the boy sitting?,bed,floor,grass,roof,Penghao
79,How many people are in the video?,3,1,2,3,Penghao
79,What's the color of the boy's hair?,blond,black,purple,red,Penghao
79,Where are those people?,home,kroger,petsmart,school,Penghao
79,What's the relationship of those 3 people?,parents and kid,friends,school mates,colleagues,Penghao
80,Where are they?,car,movies,restaurant,bed,Aura
80,How many people wear sunglasses?,2,0,1,6,Aura
80,Who is in the back seat?,child,mother,father,cat,Aura
80,What did they do?,photo shoot,movie shoot,cookies,read,Aura
80,Who do they go see?,papa,sister,aunt,mother,Aura
80,What's the relationship of those 3 people?,parents and kid,friends,school mates,colleagues,Penghao
80,How many people are in the video?,3,1,2,3,Penghao
80,What's the color of the boy's hair?,blond,black,purple,red,Penghao
80,What's the color of the woman's hair?,blond,black,purple,red,Penghao
81,What is the kid getting into?,car,box,restaurant,truck,Aura
81,What's next to the car?,grill,cat,bucket,beach,Aura
81,What does the man put in the car?,batery,dog,seat,key,Aura
81,How many people ride the car?,2,1,6,7,Aura
81,What will people do instead of grass?,racetrack,cement,veggie garden,den,Aura
81,How many dogs in the video?,1,1,2,3,Penghao
81,How many kids in the video?,1,4 ,2,3,Penghao
81,What's the color of toy car?,blue,black,purple,red,Penghao
81,What's the color of the kid's T shirt?,green,black,purple,red,Penghao
81,Where are those people?,home-backyard,kroger,petsmart,school,Penghao
82,What pet do they have?,dog,mouse,snake,bird,Aura
82,What is in the first box?,ice cream machine,washing machine,ice cream cones,grill,Aura
82,How may people are there?,4,2,0,1,Aura
82,What are they trying to recreate?,photo,scene,movie,book,Aura
82,What is in the 2nd box?,alligator,dog,mouse,snake,Aura
82,What are they celebrate? ,Father's day,Mother's day,teacher's day,birthday,Penghao
82,How many kids in the video?,1,4 ,2,3,Penghao
82,What's the color of the boy's hair?,blond,black,purple,red,Penghao
82,Where are those people?,home,kroger,petsmart,school,Penghao
82,What's the color of the wall?,white,black,purple,red,Penghao
83,What movie the girls go see?,Inside Out,Jurassic World,Spiderman,Frozen,Aura
83,Where is the child sleeping?,car,couch,chair,crib,Aura
83,What is the child doing?,sleep,sing,run,read,Aura
83,What color is the child's blanket?,green,red,yellow,blue,Aura
83,What do they get out of at the end?,movies,restaurant,restroom,car,Aura
83,What are the boy doing at last?,give high 5s,watching a movie,eat some cookie,playing football,Penghao
83,What is the color of the boy's shirt?,green,yellow,pink,blue,Penghao
84,Where are they sitting?,couch,table,bed,chair,Aura
84,Where are they?,mall,restaurant,hospital,airplane,Aura
84,What did he see?,Jurassic World,Inside Out,Ironman,Spiderman,Aura
84,Where are they walking to at the end?,food,cinema,school,park,Aura
84,What color is the kid's t-shirt?,green,yellow,blue,silver,Aura
84,Where are those people at the beginning of the video?,play area inside a mall,kroger,petsmart,school,Penghao
84,How many people at the beginning of the video?,2,4 ,1,3,Penghao
84,What's the relationship between these 3 people?,parents and kid,friends,school mates,colleagues,Penghao
84,What's the color of the little boy's hair?,blond,black,purple,red,Penghao
84,What's the color of the mom's eyes?,blue,black,purple,red,Penghao
85,Where are they?,restaurant,hospital,airplane,cinema,Aura
85,What does the cook throw?,egg,bread,flour,salt,Aura
85,How many balls the boy holds?,2,3,0,1,Aura
85,Where does the boy sleep first?,mother's arms,car,couch,chair,Aura
85,Where is the smartphone?,carpet,box,table,book,Aura
86,What day of the week is?,Sunday,Tuesday,Wednesday,Saturday,Aura
86,What special day is?,Valentine's,Mother's Day,Easter,Father's day,Aura
86,What color are the plates?,teal,gray,red,yellow,Aura
86,What is the little card?,present,surprise,book,business card,Aura
86,What are they eating?,waffles,popcorn,lobster 1 way,shrimps,Aura
86,Where are they?,home,Shopping mall,Park,Zoo,Penghao
86,How many people are in the video?,4 ,1,2,3,Penghao
86,How many kids in the video?,2,1,6,3,Penghao
86,What are they doing?,eating breakfast,dancing,playing basketball,watching a movie,Penghao
86,What's the color of the table?,white,black,purple,red,Penghao
87,Where is he going?,scavenger hunt,running,shopping,swim,Aura
87,What is he giving the woman?,present,flowers,pens,colors,Aura
87,Where is the woman?,table,closet,restroom,plane,Aura
87,How many kids are?,2,6,3,0,Aura
87,What are they eating?,breakfast,dinner,brunch,lunch,Aura
87,What thing the man gave the woman?,a blue box,a table,a tree,a car,Penghao
87,Where are they?,home,shopping mall,park,zoo,Penghao
87,What's the relationship of those people?,parents and kid,friends,school mates,colleagues,Penghao
87,How many TVs are shown in the video?,1,2,6,3,Penghao
88,What color is the first box the woman holds?,teal,silver,yellow,blue,Aura
88,Where is the baby?,woman's lap,woman's back,car,seat,Aura
88,What is in the box?,necklace,toy,box,cat,Aura
88,What kind of necklace she got?,key,cat,flowers,bird,Aura
88,What is in the middle of the necklace?,diamond,square,hole,flower,Aura
88,How many kids are in the video?,1,2,6,3,Penghao
88,How many people are in the video?,3,2,6,7,Penghao
88,Where are they?,home,Shopping mall,Park,Zoo,Penghao
88,What's the color of the table?,white,black,purple,red,Penghao
89,What are they looking for first?,broom,map,nails,book,Aura
89,Where do they go first?,laundry room,park,restaurant,school,Aura
89,What color are the walls in the laundry room?,orange,blue,green,white,Aura
89,Where is the 2nd card?,toy box,washing machine,laundry room,shelves,Aura
89,What are they looking for in the toy box?,clue,key,map,monitor,Aura
89,How many people are in the video?,3,2,6,7,Penghao
89,Where are they?,home,Shopping mall,Park,Zoo,Penghao
89,What's the color of the little boy's hair?,blond,black,purple,red,Penghao
89,What's the shape on the little white card?,heart shape,triangle,circle,dog,Penghao
89,How many different colors are on the little gift card?,2,1,6,3,Penghao
90,What color is the heart?,pink,yellow,blue,silver,Aura
90,How many cards he found?,2,0,4,3,Aura
90,Where was the 2nd card?,toilet,box,table,book,Aura
90,Where does he go last?,closet,cinema,bathtub,park,Aura
90,Where does he look last?,suitcase,toy box,washing machine,laundry room,Aura
90,What's the color of the little boy's hair?,blond,black,purple,red,Penghao
90,How many people are in the video?,3,2,6,7,Penghao
90,How many males are in the video?,2,8,6,7,Penghao
90,Where are they?,home,shopping mall,park,zoo,Penghao
91,What is on the back of the card?,2 hearts,2 keys,a flower,a mouse,Aura
91,Where is he?,closet,laundry room,pool,gym,Aura
91,Where do they look next?,chest,guitar box,toy box,laundry room,Aura
91,What's on the chest?,towels and blankies,napkins and blankies,papers and blankies,flowers,Aura
91,What is the man wearing at his neck?,key,heart,cercles,scarf,Aura
91,How many people are in the video?,3,2,6,7,Penghao
91,Where are they?,home,shopping mall,park,zoo,Penghao
91,How many males are in the video?,2,8,6,7,Penghao
91,What's the color of the little boy's hair?,blond,black,purple,red,Penghao
91,What's the color of the dinosaur toy?,blue,black,purple,red,Penghao
92,What is on the back of the card?,heart,diamond,flowers,vase,Aura
92,Where should he look?,under covers,under table,on the floor,in the inbox,Aura
92,Where is he?,bedroom,closet,cinema,bathtub,Aura
92,What is under covers?,guitar box,chest,toy box,cat,Aura
92,What color is the box?,black,yellow,blue,green,Aura
92,How many males are in the video?,2,8,6,7,Penghao
92,Where are they?,home,shopping mall,park,zoo,Penghao
92,What's the color of the dinosaur toy?,blue,black,purple,red,Penghao
92,What the man found?,a guitar,piano,toy,car,Penghao
92,What's the color of the guitar's case?,black,white,purple,red,Penghao
93,What is he holding?,guitar,ukulele,trompet,books,Aura
93,What color is his t-shirt?,gray,red,yellow,blue,Aura
93,Where did he find the app?,Apple TV,YouTube,Google,App Store,Aura
93,What kind of app he found?,strings and tunning,piano playing,singing lessons,drawing,Aura
93,What is he writing?,music,letter,poetry,novel,Aura
93,How many TVs are in the video?,1,8,6,7,Penghao
93,How many cats are in the video?,0,8,6,7,Penghao
93,What's the color of the TV?,black,white,purple,red,Penghao
93,Where are they?,home,shopping mall,park,zoo,Penghao
93,What's the color of the sofa?,white,pink,purple,red,Penghao
94,What kind of dinosaur is it?,tricerotops,T-rex,Deinonychus,Carnotaurus,Aura
94,What color is the dinosaur?,teal,yellow,blue,magenta,Aura
94,Where is the child?,floor,couch,car,box,Aura
94,What musical instrument is next to the table?,guitar,piano,ukulele,trompet,Aura
94,Where is the woman?,couch,bed,closet,floor,Aura
94,What's the boy playing with?,dinosaur toy,car,ball,cat,Penghao
94,Where are they?,home,shopping mall,park,zoo,Penghao
94,How many cats are in the video?,0,8,6,7,Penghao
94,How many kids are in the video?,1,8,6,7,Penghao
94,How many females in the video?,1,8,6,7,Penghao
95,What does the card say?,Happy Valentine's Day!,Happy Easter!,Happy Mother's Day!,Happy Father's day!,Aura
95,Who sent the first card?,Gabriela,Anna,Helen,Martin,Aura
95,Where are her sunglasses?,head,box,t-shirt,table,Aura
95,What kind of tattoo he got?,storm trooper,butterfly,arrow,heart,Aura
95,What flavor is the ice cream cone?,grape,vanilla,cookies,berries,Aura
95,What's the color of the envelope?,pink,white,purple,red,Penghao
95,Where are they?,home,shopping mall,park,zoo,Penghao
95,What's the color of the chairs?,white,pink,purple,red,Penghao
95,How many females are in the video?,1,8,6,7,Penghao
95,What's the color of the little boy's hair?,blond,black,purple,red,Penghao
96,What kind of sweets he has?,lemon bars,brownies,cake,coffee cake,Aura
96,What color are the walls?,light green,blue,magenta,white,Aura
96,Where is he?,kitchen,bed,gym,closet,Aura
96,Where is the smartphone?,table,shelves,bed,floor,Aura
96,For what day do they go out?,Valentine's,Mother's Day,Easter,Father's day,Aura
96,What's the relationship between these people?,family,friends,fighters,colleagues,Penghao
96,Where are they?,home,shopping mall,park,zoo,Penghao
96,What's the color of the plate?,blue,pink,purple,red,Penghao
96,What's the color sofa?,white,black,purple,red,Penghao
97,Whare are they holding?,pens,bottles,books,bugs,Aura
97,Where is the folder with papers?,table,shelves,bag,floor,Aura
97,How many objects are on the table?,7,2,0,4,Aura
97,What is their hairstyle?,braids,bun,pony tail,short cut,Aura
97,What are they repeating?,alphabet,songs,plays,poetry,Aura
98,Where are they?,living room,gym,closet,kitchen,Aura
98,How many kids are?,2,4,5,3,Aura
98,What color is the box on the table?,green,pink,blue,magenta,Aura
98,What is the last letter?,M,L,T,S,Aura
98,What is the first letter?,S,Z,N,L,Aura
99,What is the first question?,what is this?,who is this?,where is this?,what book is this?,Aura
99,Where is the remote?,table,shelves,books,TV,Aura
99,Whare are they doing?,homework,cooking,watch TV,painting,Aura
99,How many water bottles are?,2,0,4,5,Aura
99,Where is the red chair?,pillow,table,floor,stand,Aura
100,What shape is the table?,round,cube,diamond,square,Aura
100,Where are they?,living room,school,hospital,closet,Aura
100,What is in the box on the table?,tissues,beads,paper,pencils,Aura
100,What is the first question?,are you excited?,are you upset?,are you at home?,who are you?,Aura
100,What does the girl say to the other girl at the end?,read it again,watch it again,read more books,follow it again,Aura
101,What town is she in?,Brooklyn,Bronx,Chicago,Troy,Aura
101,What day is it?,Saturday,Wednesday,Friday,Tuesday,Aura
101,Where is she?,farmer's market,cinema,gym,school,Aura
101,What does she plan to make?,lobster 3 ways,potatoes 3 ways,lobster 1 way,onions 3 ways,Aura
101,What is she holding?,umbrella,vase,flowers,books,Aura
101,What's the weather of today?,rainy,sunny,wendy,snowing,Penghao
101,What's the color of the woman's scarf?,red,white,pink,purple,Penghao
101,What's the color of the woman's bag?,red,white,pink,purple,Penghao
101,How many umbrellas does the woman have?,1,8,6,7,Penghao
102,What are they doing?,cooking,running,reading,drinking,Aura
102,What are they cutting first?,red potatoes,artichoke,scallops,shrimps,Aura
102,What is next to potatoes?,corn,lobster,pepper,ginger,Aura
102,How many women cook?,2,5,10,3,Aura
102,How many knives are used?,2,3,0,4,Aura
102,What they are doing?,cooking,dancing,playing basketball,singing,Penghao
102,Where are they?,home,shopping mall,park,zoo,Penghao
102,How many people are in the video?,2,8,6,7,Penghao
102,How many dogs are in the video?,0,8,6,7,Penghao
102,How many kids are in the video?,0,8,6,7,Penghao
103,What is the woman cutting?,lobster,pepper,ginger,artichoke,Aura
103,What is the woman pouring on the lobster?,butter ,flour,mustard,ketchup,Aura
103,What color is the hair of the woman wearing eyeglasses?,blonde,silver,white,brown,Aura
103,What are they cutting next after lobster?,tomatoes,ginger,artichoke,scallops,Aura
103,What seasoning are they adding?,salt & pepper,cinnamon,ginger,vanilla,Aura
103,What they are doing?,cooking,dancing,playing basketball,singing,Penghao
103,How many lobsters they cooked?,5,8,6,7,Penghao
103,How many people are in the video?,2,8,6,7,Penghao
103,Where are they?,home,shopping mall,park,zoo,Penghao
103,How many dogs are in the video?,0,8,6,7,Penghao
104,When did the guest start to arrive?,after the last plate was put down,after the last plate was broken,after the last plate was washed,at night,Aura
104,Where are the plates?,table,oven,couch,shelves,Aura
104,Where are the people?,home,cinema,school,hospital,Aura
104,What do they get around their neck?,bib,necklace,tie,scarf,Aura
104,What color is the eyeglasses frame of the last woman?,black,silver,blue,violet,Aura
104,What they are doing?,eating,dancing,playing basketball,singing,Penghao
104,Where are they?,home,shopping mall,park,zoo,Penghao
104,How many dogs are in the video?,0,8,6,7,Penghao
104,Why they cooked?,for party,to sell,for the kids,for pets,Penghao
104,What's the color of the wall?,white,red,pink,purple,Penghao
105,What is the hand stand they start with?,Spiderman,Batman,Catwoman,Ironman,Aura
105,What color is the vertical mattress?,orange,violet,pink,blue,Aura
105,What color is the cercle on the 2nd station?,green,black,violet,pink,Aura
105,How do you pretend that the matt is?,hot,cold,frozen,warm,Aura
105,What color are the woman's clothes?,black,blue,violet,green,Aura
105,How many people are in the video?,3,8,6,7,Penghao
105,How many kids are in the video?,1,8,6,7,Penghao
105,What's the color of the ground?,blue,red,pink,purple,Penghao
105,What's the color of the little girl's hair?,black,red,pink,purple,Penghao
105,What's the girl's hairstyle?,pigtail,crew cut,baldhead,cape,Penghao
106,Where are they?,gym,closet,kitchen,cinema,Aura
106,What color is the mattress on the floor?,blue,red,yellow,purple,Aura
106,How many cercles are on the floor?,4,3,5,10,Aura
106,What color is the girl's costume?,fuchsia,golden,yellow,purple,Aura
106,What is the final position?,hand stand with back to the edge,bridge,pushup,lotus,Aura
106,What's the color of the woman's pants?,black,red,pink,purple,Penghao
106,What's the color of the ground?,blue,red,pink,purple,Penghao
106,What's the girl's hairstyle?,pigtail,crew cut,baldhead,cape,Penghao
106,How many kids are in the video?,1,8,6,7,Penghao
106,How many people are in the video?,3,8,6,7,Penghao
107,Where is the boy in the beginning?,on her back,in her arms,on the couch,on the chair,Aura
107,To what can people subscribe?,Tiny tube TV,Huge tube TV,Apple TV,CNN,Aura
107,What color is the boy's top?,white,yellow,purple,red,Aura
107,What is the first thing they do?,test body,reach body,stretch body,run,Aura
107,How should the boy's legs be?,pencil,noodle,long,white,Aura
107,Where are they?,home,shopping mall,park,zoo,Penghao
107,How many people are in the video?,2,8,6,7,Penghao
107,How many kids in the video?,1,8,6,7,Penghao
107,What's the color of the sofa?,dark blue,red,pink,purple,Penghao
107,What's the color of the wall?,white,red,pink,purple,Penghao
108,How many people are in room?,2,5,10,6,Aura
108,What color are the shelves under the TV?,white,green,yellow,purple,Aura
108,How many pillows are on the couch?,7,11,5,10,Aura
108,Where is the pink mattress?,on the wall,on the boat,on the bed,on the table,Aura
108,What color is the mattress on the floor?,light green,red,violet,pink,Aura
108,How many kids in the video?,1,8,6,7,Penghao
108,Where are they?,home,shopping mall,park,zoo,Penghao
108,How many people are in the video?,2,8,6,7,Penghao
108,How many pictures are on the wall?,1,8,6,7,Penghao
108,What's the color of the door?,white,red,pink,purple,Penghao
109,What color is the boy's top?,white,red,violet,green,Aura
109,How we don't want to fall?,on the hands,on the floor,on the feet,on the table,Aura
109,How should we go in order not to fall?,slow,fast,steady,silent,Aura
109,What feet should we use?,both,left,right,none,Aura
109,How is he going to try?,by himself,with help,fast,slow,Aura
109,How many people are in the video?,2,8,6,7,Penghao
109,How many kids in the video?,1,8,6,7,Penghao
109,What's the color of the carpet?,grey,red,pink,purple,Penghao
109,Which part they are in their house?,living room,kitchen,study room,bedroom,Penghao
109,Waht's the color of the little boy's top?,white,red,pink,purple,Penghao
110,Where is he supposed to look at?,fingers,TV,book,head,Aura
110,What color is the couch?,gray,white,green,yellow,Aura
110,What color is the woman's hair?,blonde,red,black,orange,Aura
110,What is the women teaching?,yoga,math,science,reading,Aura
110,What color is the carpet?,gray,orange,white,green,Aura
110,What kind of poses they are trying to do?,upside down,lie down ,twist,standing,Penghao
110,How many kids in the video?,1,8,6,7,Penghao
110,How many people are in the video?,2,8,6,7,Penghao
110,How many women in the video?,1,8,6,7,Penghao
110,Where are they?,home,shopping mall,park,zoo,Penghao
111,How many pillows are on the couch?,5,0,3,11,Aura
111,What color are the pillows on the floor?,burgundy,green,violet,gray,Aura
111,Where are they?,living room,cinema,court,farm,Aura
111,What is the first move the boy should do?,big step,big smile,pushup,head stand,Aura
111,How many pillows are on the floor?,2,3,11,5,Aura
111,What is the color of the woman's top?,blue,yellow,white,red,Penghao
111,What are they doing?,Yoga,running,swimming,jogging,Penghao
111,How many people are there?,2,3,4 ,5,Penghao
111,What is the color of the carpet?,gray,black,red,yellow,Penghao
111,How many times do they high 5?,1,2,3,0,Penghao
112,What for are they doing hand stand against the wall?,added strength,added memory,added luck,fun,Aura
112,How many children are there?,1,3,11,4,Aura
112,What color is the wall matt?,pink,orange,green,violet,Aura
112,How many pushups is the child showing?,1,10,7,6,Aura
112,Up to which number should the boy count?,10,100,20,12,Aura
113,What is the woman doing in the beginning?,yoga,reading,singing,texting,Aura
113,Where are they?,living room,train,hospital,cinema,Aura
113,What color is her top?,blue,yellow,white,green,Aura
113,Where are they laying?,floor,kitchen,train,bed,Aura
113,Why is the woman teaching the child?,doing hand stands,bringing water,doing pushups,cooking,Aura
113,What is the color of the woman's top?,blue,white,black,pink,Penghao
113,What is the color of the kid's top?,white,blue,black,pink,Penghao
